IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.238.35.50,2095,false,HKG,Asia Pacific,Hong Kong,64 ms,22765 kB/s
47.76.192.24,2086,false,HKG,Asia Pacific,Hong Kong,57 ms,20390 kB/s
47.238.35.50,2086,false,HKG,Asia Pacific,Hong Kong,69 ms,19712 kB/s
47.243.91.58,2082,false,HKG,Asia Pacific,Hong Kong,75 ms,14187 kB/s
47.76.29.115,2052,false,HKG,Asia Pacific,Hong Kong,60 ms,9710 kB/s
47.76.192.24,80,false,HKG,Asia Pacific,Hong Kong,57 ms,9251 kB/s
47.76.214.139,2052,false,HKG,Asia Pacific,Hong Kong,59 ms,8161 kB/s
47.76.192.24,2082,false,HKG,Asia Pacific,Hong Kong,60 ms,7741 kB/s
47.76.32.108,2052,false,HKG,Asia Pacific,Hong Kong,66 ms,6809 kB/s
47.76.214.139,2086,false,HKG,Asia Pacific,Hong Kong,59 ms,6513 kB/s
47.76.26.26,2052,false,HKG,Asia Pacific,Hong Kong,62 ms,6402 kB/s
47.76.26.26,2086,false,HKG,Asia Pacific,Hong Kong,60 ms,6307 kB/s
47.76.77.103,2052,false,HKG,Asia Pacific,Hong Kong,61 ms,6221 kB/s
47.76.77.103,2082,false,HKG,Asia Pacific,Hong Kong,56 ms,6191 kB/s
47.237.86.185,2082,false,SIN,Asia Pacific,Singapore,301 ms,5797 kB/s
47.76.26.26,80,false,HKG,Asia Pacific,Hong Kong,61 ms,5223 kB/s
47.74.155.26,80,false,SIN,Asia Pacific,Singapore,99 ms,5073 kB/s
47.236.232.148,2082,false,SIN,Asia Pacific,Singapore,321 ms,4916 kB/s
47.236.83.239,80,false,SIN,Asia Pacific,Singapore,308 ms,4899 kB/s
47.236.167.231,8080,false,SIN,Asia Pacific,Singapore,290 ms,4858 kB/s
47.76.204.76,2052,false,HKG,Asia Pacific,Hong Kong,54 ms,4840 kB/s
47.236.144.156,80,false,SIN,Asia Pacific,Singapore,280 ms,4831 kB/s
47.237.10.1,80,false,SIN,Asia Pacific,Singapore,287 ms,4750 kB/s
47.76.214.139,2082,false,HKG,Asia Pacific,Hong Kong,64 ms,4633 kB/s
47.76.192.24,8080,false,HKG,Asia Pacific,Hong Kong,62 ms,4632 kB/s
47.237.83.20,8080,false,SIN,Asia Pacific,Singapore,302 ms,4630 kB/s
47.236.189.92,2082,false,SIN,Asia Pacific,Singapore,314 ms,4527 kB/s
47.236.10.182,2052,false,SIN,Asia Pacific,Singapore,303 ms,4430 kB/s
47.236.83.239,2052,false,SIN,Asia Pacific,Singapore,313 ms,4426 kB/s
47.237.86.185,8880,false,SIN,Asia Pacific,Singapore,287 ms,4371 kB/s
47.236.172.71,80,false,SIN,Asia Pacific,Singapore,289 ms,4358 kB/s
47.237.86.185,80,false,SIN,Asia Pacific,Singapore,275 ms,4317 kB/s
47.236.145.85,2082,false,SIN,Asia Pacific,Singapore,299 ms,4294 kB/s
47.236.172.71,8880,false,SIN,Asia Pacific,Singapore,282 ms,4131 kB/s
47.236.145.85,8080,false,SIN,Asia Pacific,Singapore,311 ms,4097 kB/s
47.236.83.239,8080,false,SIN,Asia Pacific,Singapore,304 ms,4074 kB/s
47.236.144.196,8080,false,SIN,Asia Pacific,Singapore,323 ms,4057 kB/s
47.236.164.215,2082,false,SIN,Asia Pacific,Singapore,287 ms,4056 kB/s
47.237.10.1,2082,false,SIN,Asia Pacific,Singapore,282 ms,4019 kB/s
47.237.86.185,2095,false,SIN,Asia Pacific,Singapore,295 ms,4007 kB/s
47.237.10.1,8080,false,SIN,Asia Pacific,Singapore,293 ms,3964 kB/s
47.236.168.17,8880,false,SIN,Asia Pacific,Singapore,288 ms,3956 kB/s
47.236.164.215,2052,false,SIN,Asia Pacific,Singapore,290 ms,3913 kB/s
47.236.167.231,80,false,SIN,Asia Pacific,Singapore,291 ms,3865 kB/s
47.236.189.92,2095,false,SIN,Asia Pacific,Singapore,303 ms,3840 kB/s
47.237.121.38,2082,false,SIN,Asia Pacific,Singapore,280 ms,3808 kB/s
47.237.95.13,2095,false,SIN,Asia Pacific,Singapore,272 ms,3767 kB/s
47.237.86.185,2086,false,SIN,Asia Pacific,Singapore,297 ms,3752 kB/s
47.236.93.176,2086,false,SIN,Asia Pacific,Singapore,305 ms,3750 kB/s
47.237.121.38,8080,false,SIN,Asia Pacific,Singapore,278 ms,3739 kB/s
