IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.238.40.58,2087,true,HKG,Asia Pacific,Hong Kong,65 ms,18910 kB/s
47.238.40.58,2053,true,HKG,Asia Pacific,Hong Kong,58 ms,18231 kB/s
47.76.159.146,2083,true,HKG,Asia Pacific,Hong Kong,56 ms,13186 kB/s
47.76.159.146,2053,true,HKG,Asia Pacific,Hong Kong,60 ms,11605 kB/s
47.236.202.91,2087,true,SIN,Asia Pacific,Singapore,215 ms,7352 kB/s
47.236.202.91,2096,true,SIN,Asia Pacific,Singapore,205 ms,7311 kB/s
8.222.204.128,443,true,SIN,Asia Pacific,Singapore,212 ms,7213 kB/s
8.219.200.145,2053,true,SIN,Asia Pacific,Singapore,253 ms,7193 kB/s
8.222.191.138,2053,true,SIN,Asia Pacific,Singapore,242 ms,6511 kB/s
47.76.204.76,2053,true,HKG,Asia Pacific,Hong Kong,62 ms,6269 kB/s
47.236.145.85,2096,true,SIN,Asia Pacific,Singapore,242 ms,6252 kB/s
47.236.102.102,8443,true,SIN,Asia Pacific,Singapore,228 ms,5835 kB/s
8.219.200.145,2096,true,SIN,Asia Pacific,Singapore,220 ms,5794 kB/s
47.236.117.48,2053,true,SIN,Asia Pacific,Singapore,216 ms,5714 kB/s
47.76.159.146,2087,true,HKG,Asia Pacific,Hong Kong,65 ms,5655 kB/s
47.236.253.41,2087,true,SIN,Asia Pacific,Singapore,247 ms,5650 kB/s
8.219.200.145,2083,true,SIN,Asia Pacific,Singapore,216 ms,5609 kB/s
47.237.82.15,2087,true,SIN,Asia Pacific,Singapore,219 ms,5586 kB/s
47.76.159.146,8443,true,HKG,Asia Pacific,Hong Kong,65 ms,5332 kB/s
47.236.237.90,8443,true,SIN,Asia Pacific,Singapore,247 ms,5204 kB/s
47.236.237.90,2053,true,SIN,Asia Pacific,Singapore,217 ms,5196 kB/s
47.237.86.185,2096,true,SIN,Asia Pacific,Singapore,214 ms,5183 kB/s
47.237.94.140,2083,true,SIN,Asia Pacific,Singapore,208 ms,5168 kB/s
47.236.80.110,2087,true,SIN,Asia Pacific,Singapore,210 ms,5161 kB/s
47.237.95.156,2096,true,SIN,Asia Pacific,Singapore,222 ms,5145 kB/s
47.236.237.90,2096,true,SIN,Asia Pacific,Singapore,210 ms,5099 kB/s
47.236.145.85,2053,true,SIN,Asia Pacific,Singapore,216 ms,5008 kB/s
47.76.204.76,2083,true,HKG,Asia Pacific,Hong Kong,62 ms,5007 kB/s
47.236.170.225,2053,true,SIN,Asia Pacific,Singapore,218 ms,4982 kB/s
47.236.253.41,2053,true,SIN,Asia Pacific,Singapore,229 ms,4947 kB/s
47.236.117.48,2083,true,SIN,Asia Pacific,Singapore,229 ms,4910 kB/s
47.236.117.48,443,true,SIN,Asia Pacific,Singapore,227 ms,4908 kB/s
47.236.102.102,2083,true,SIN,Asia Pacific,Singapore,218 ms,4901 kB/s
47.236.202.91,2053,true,SIN,Asia Pacific,Singapore,221 ms,4837 kB/s
47.236.146.249,2087,true,SIN,Asia Pacific,Singapore,214 ms,4798 kB/s
47.237.95.13,2087,true,SIN,Asia Pacific,Singapore,214 ms,4768 kB/s
47.237.11.182,2096,true,SIN,Asia Pacific,Singapore,212 ms,4710 kB/s
47.76.178.146,2083,true,HKG,Asia Pacific,Hong Kong,71 ms,4706 kB/s
47.236.80.110,2096,true,SIN,Asia Pacific,Singapore,221 ms,4703 kB/s
47.237.0.31,2087,true,SIN,Asia Pacific,Singapore,224 ms,4693 kB/s
47.237.14.220,2096,true,SIN,Asia Pacific,Singapore,211 ms,4683 kB/s
47.237.100.206,2096,true,SIN,Asia Pacific,Singapore,238 ms,4662 kB/s
47.236.254.120,2053,true,SIN,Asia Pacific,Singapore,228 ms,4655 kB/s
47.237.83.20,2096,true,SIN,Asia Pacific,Singapore,218 ms,4651 kB/s
47.236.144.48,2087,true,SIN,Asia Pacific,Singapore,222 ms,4647 kB/s
47.236.83.239,2087,true,SIN,Asia Pacific,Singapore,210 ms,4626 kB/s
47.237.81.112,2096,true,SIN,Asia Pacific,Singapore,205 ms,4597 kB/s
47.236.180.51,2087,true,SIN,Asia Pacific,Singapore,215 ms,4581 kB/s
47.237.82.15,2096,true,SIN,Asia Pacific,Singapore,211 ms,4579 kB/s
47.236.102.102,2053,true,SIN,Asia Pacific,Singapore,226 ms,4574 kB/s
47.236.102.102,2087,true,SIN,Asia Pacific,Singapore,234 ms,4473 kB/s
47.236.254.120,2096,true,SIN,Asia Pacific,Singapore,222 ms,4444 kB/s
47.236.253.41,2096,true,SIN,Asia Pacific,Singapore,227 ms,4431 kB/s
47.236.146.249,443,true,SIN,Asia Pacific,Singapore,210 ms,4421 kB/s
47.237.94.140,2087,true,SIN,Asia Pacific,Singapore,244 ms,4418 kB/s
47.236.102.102,2096,true,SIN,Asia Pacific,Singapore,224 ms,4414 kB/s
47.236.10.182,2087,true,SIN,Asia Pacific,Singapore,230 ms,4390 kB/s
47.236.146.249,2053,true,SIN,Asia Pacific,Singapore,245 ms,4373 kB/s
47.236.9.152,2096,true,SIN,Asia Pacific,Singapore,209 ms,4322 kB/s
47.236.9.152,2087,true,SIN,Asia Pacific,Singapore,218 ms,4255 kB/s
47.236.254.120,8443,true,SIN,Asia Pacific,Singapore,213 ms,4152 kB/s
47.236.117.48,2087,true,SIN,Asia Pacific,Singapore,247 ms,4117 kB/s
47.236.237.90,2083,true,SIN,Asia Pacific,Singapore,209 ms,4088 kB/s
47.236.117.48,8443,true,SIN,Asia Pacific,Singapore,245 ms,4076 kB/s
47.236.10.182,2083,true,SIN,Asia Pacific,Singapore,237 ms,4071 kB/s
