IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.222.204.128,443,true,SIN,Asia Pacific,Singapore,231 ms,7976 kB/s
47.236.117.48,2087,true,SIN,Asia Pacific,Singapore,215 ms,7869 kB/s
47.236.80.110,2096,true,SIN,Asia Pacific,Singapore,227 ms,7735 kB/s
47.236.80.110,2083,true,SIN,Asia Pacific,Singapore,233 ms,7515 kB/s
47.237.82.15,2087,true,SIN,Asia Pacific,Singapore,245 ms,7402 kB/s
47.237.95.146,2096,true,SIN,Asia Pacific,Singapore,223 ms,7247 kB/s
47.236.180.24,2087,true,SIN,Asia Pacific,Singapore,257 ms,7002 kB/s
47.237.92.26,2087,true,SIN,Asia Pacific,Singapore,220 ms,6988 kB/s
47.236.202.91,2083,true,SIN,Asia Pacific,Singapore,223 ms,6982 kB/s
47.237.81.112,2096,true,SIN,Asia Pacific,Singapore,218 ms,6774 kB/s
47.236.146.249,2053,true,SIN,Asia Pacific,Singapore,239 ms,6574 kB/s
8.219.210.64,2083,true,SIN,Asia Pacific,Singapore,223 ms,6435 kB/s
47.236.253.41,2083,true,SIN,Asia Pacific,Singapore,215 ms,6400 kB/s
47.236.93.176,2053,true,SIN,Asia Pacific,Singapore,213 ms,6345 kB/s
47.237.84.173,2053,true,SIN,Asia Pacific,Singapore,225 ms,6328 kB/s
47.237.95.13,2087,true,SIN,Asia Pacific,Singapore,240 ms,6228 kB/s
47.236.170.225,8443,true,SIN,Asia Pacific,Singapore,225 ms,6125 kB/s
47.237.83.20,2096,true,SIN,Asia Pacific,Singapore,243 ms,6054 kB/s
47.236.17.193,2087,true,SIN,Asia Pacific,Singapore,219 ms,6022 kB/s
47.236.253.41,2053,true,SIN,Asia Pacific,Singapore,224 ms,6015 kB/s
47.236.254.120,2083,true,SIN,Asia Pacific,Singapore,254 ms,5880 kB/s
8.219.222.98,2053,true,SIN,Asia Pacific,Singapore,222 ms,5858 kB/s
47.237.84.173,2083,true,SIN,Asia Pacific,Singapore,216 ms,5730 kB/s
47.236.253.41,2087,true,SIN,Asia Pacific,Singapore,221 ms,5698 kB/s
47.236.145.85,2087,true,SIN,Asia Pacific,Singapore,219 ms,5682 kB/s
47.236.202.91,2087,true,SIN,Asia Pacific,Singapore,225 ms,5626 kB/s
47.236.146.249,8443,true,SIN,Asia Pacific,Singapore,218 ms,5553 kB/s
47.236.145.85,2083,true,SIN,Asia Pacific,Singapore,216 ms,5528 kB/s
47.236.130.95,8443,true,SIN,Asia Pacific,Singapore,217 ms,5471 kB/s
47.236.165.25,2083,true,SIN,Asia Pacific,Singapore,235 ms,5371 kB/s
47.236.117.48,443,true,SIN,Asia Pacific,Singapore,230 ms,5227 kB/s
47.236.174.206,2083,true,SIN,Asia Pacific,Singapore,227 ms,5193 kB/s
47.237.94.140,2083,true,SIN,Asia Pacific,Singapore,223 ms,5128 kB/s
47.236.93.176,2087,true,SIN,Asia Pacific,Singapore,226 ms,5113 kB/s
47.236.80.110,2087,true,SIN,Asia Pacific,Singapore,249 ms,5080 kB/s
8.219.237.250,2087,true,SIN,Asia Pacific,Singapore,222 ms,5028 kB/s
8.219.237.250,2053,true,SIN,Asia Pacific,Singapore,225 ms,5000 kB/s
47.237.84.173,8443,true,SIN,Asia Pacific,Singapore,221 ms,4987 kB/s
47.236.145.85,443,true,SIN,Asia Pacific,Singapore,220 ms,4983 kB/s
47.237.84.173,2087,true,SIN,Asia Pacific,Singapore,224 ms,4934 kB/s
47.236.202.91,8443,true,SIN,Asia Pacific,Singapore,219 ms,4916 kB/s
47.237.86.185,2096,true,SIN,Asia Pacific,Singapore,229 ms,4898 kB/s
47.236.254.120,2087,true,SIN,Asia Pacific,Singapore,237 ms,4876 kB/s
47.236.167.231,8443,true,SIN,Asia Pacific,Singapore,243 ms,4870 kB/s
47.236.93.176,8443,true,SIN,Asia Pacific,Singapore,249 ms,4815 kB/s
47.237.14.220,2087,true,SIN,Asia Pacific,Singapore,222 ms,4813 kB/s
47.236.102.102,2053,true,SIN,Asia Pacific,Singapore,221 ms,4757 kB/s
8.219.237.250,8443,true,SIN,Asia Pacific,Singapore,230 ms,4706 kB/s
47.237.10.1,2096,true,SIN,Asia Pacific,Singapore,228 ms,4670 kB/s
47.236.145.85,2096,true,SIN,Asia Pacific,Singapore,244 ms,4623 kB/s
47.236.167.231,2087,true,SIN,Asia Pacific,Singapore,220 ms,4601 kB/s
47.237.0.31,2087,true,SIN,Asia Pacific,Singapore,227 ms,4594 kB/s
47.236.102.102,2096,true,SIN,Asia Pacific,Singapore,240 ms,4587 kB/s
47.236.146.249,443,true,SIN,Asia Pacific,Singapore,231 ms,4566 kB/s
47.236.167.231,2053,true,SIN,Asia Pacific,Singapore,227 ms,4553 kB/s
47.237.11.182,2096,true,SIN,Asia Pacific,Singapore,230 ms,4530 kB/s
8.219.170.232,2053,true,SIN,Asia Pacific,Singapore,222 ms,4523 kB/s
47.236.10.182,2083,true,SIN,Asia Pacific,Singapore,238 ms,4504 kB/s
47.236.253.41,8443,true,SIN,Asia Pacific,Singapore,230 ms,4434 kB/s
47.236.146.249,2083,true,SIN,Asia Pacific,Singapore,227 ms,4431 kB/s
47.236.125.62,2087,true,NRT,Asia Pacific,Tokyo,300 ms,4369 kB/s
47.237.82.15,2096,true,SIN,Asia Pacific,Singapore,229 ms,4357 kB/s
47.236.10.182,2087,true,SIN,Asia Pacific,Singapore,248 ms,4342 kB/s
47.237.83.20,2087,true,SIN,Asia Pacific,Singapore,230 ms,4339 kB/s
47.237.8.82,2053,true,SIN,Asia Pacific,Singapore,227 ms,4336 kB/s
47.237.100.206,2096,true,SIN,Asia Pacific,Singapore,222 ms,4220 kB/s
47.236.145.85,8443,true,SIN,Asia Pacific,Singapore,221 ms,4201 kB/s
47.236.102.102,2087,true,SIN,Asia Pacific,Singapore,220 ms,4169 kB/s
47.236.254.120,8443,true,SIN,Asia Pacific,Singapore,234 ms,4126 kB/s
47.236.125.62,2053,true,NRT,Asia Pacific,Tokyo,297 ms,4102 kB/s
47.236.102.102,2083,true,SIN,Asia Pacific,Singapore,223 ms,4095 kB/s
47.236.117.48,8443,true,SIN,Asia Pacific,Singapore,223 ms,4034 kB/s
47.236.146.249,2096,true,SIN,Asia Pacific,Singapore,220 ms,3977 kB/s
47.236.180.24,2096,true,SIN,Asia Pacific,Singapore,229 ms,3941 kB/s
47.236.125.62,2083,true,NRT,Asia Pacific,Tokyo,295 ms,3936 kB/s
47.237.8.82,2083,true,SIN,Asia Pacific,Singapore,228 ms,3930 kB/s
8.219.170.232,2083,true,SIN,Asia Pacific,Singapore,221 ms,3823 kB/s
47.236.125.62,2096,true,NRT,Asia Pacific,Tokyo,304 ms,3800 kB/s
47.236.10.182,2096,true,SIN,Asia Pacific,Singapore,248 ms,3789 kB/s
47.237.8.82,8443,true,SIN,Asia Pacific,Singapore,241 ms,3784 kB/s
47.236.117.48,2083,true,SIN,Asia Pacific,Singapore,231 ms,3652 kB/s
47.236.254.120,2096,true,SIN,Asia Pacific,Singapore,225 ms,3634 kB/s
8.219.237.250,2096,true,SIN,Asia Pacific,Singapore,231 ms,3570 kB/s
47.237.8.82,2087,true,SIN,Asia Pacific,Singapore,233 ms,3439 kB/s
47.76.146.1,2087,true,HKG,Asia Pacific,Hong Kong,55 ms,3391 kB/s
47.236.146.249,2087,true,SIN,Asia Pacific,Singapore,220 ms,3190 kB/s
47.237.8.82,2096,true,SIN,Asia Pacific,Singapore,237 ms,3145 kB/s
47.236.117.48,2096,true,SIN,Asia Pacific,Singapore,235 ms,3128 kB/s
8.219.170.232,443,true,SIN,Asia Pacific,Singapore,221 ms,3109 kB/s
47.236.253.41,2096,true,SIN,Asia Pacific,Singapore,228 ms,3001 kB/s
